Student ID,Email Address,Password
K157900,Mr Test Student,1/01/1993
K157901,Mr Test Student,2/01/1993
K157902,Mr Test Student,3/01/1993
K157903,Mr Test Student,4/01/1993
K157904,Mr Test Student,5/01/1993
K157905,Mr Test Student,6/01/1993
K157906,Mr Test Student,7/01/1993
K157907,Mr Test Student,8/01/1993
K157908,Mr Test Student,9/01/1993
K157909,Mr Test Student,10/01/1993
K157910,Mr Test Student,11/01/1993
K157911,Mr Test Student,12/01/1993
K157912,Mr Test Student,13/01/1993
K157913,Mr Test Student,14/01/1993
K157914,Mr Test Student,15/01/1993
